ano,id_uf,sigla_uf,pct_alfabetizados,meta_pct_media_mun,n_municipios,n_atingiram_meta,n_avaliados,meta_pct_uf,gap_meta_uf,pct_municipios_na_meta
2023,11,RO,64.87,56.0,52,41,0.0,56.0,8.865192307692297,78.85
2023,13,AM,50.26,56.0,62,18,0.0,56.0,-5.7437096774193535,29.03
2023,15,PA,46.37,56.0,144,32,0.0,56.0,-9.62854166666667,22.22
2023,16,AP,42.27,56.0,16,3,0.0,56.0,-13.73375,18.75
2023,17,TO,38.31,56.0,139,21,0.0,56.0,-17.694676258992807,15.11
2023,21,MA,61.21,56.0,217,124,0.0,56.0,5.207557603686638,57.14
2023,22,PI,59.76,56.0,224,117,0.0,56.0,3.7621428571428552,52.23
2023,23,CE,89.91,56.0,184,184,0.0,56.0,33.91233695652173,100.0
2023,24,RN,37.69,56.0,167,21,0.0,56.0,-18.311497005988024,12.57
2023,25,PB,54.25,56.0,223,103,0.0,56.0,-1.750941704035867,46.19
2023,26,PE,60.44,56.0,185,112,0.0,56.0,4.442216216216217,60.54
2023,27,AL,45.82,56.0,102,19,0.0,56.0,-10.179019607843138,18.63
2023,28,SE,30.39,56.0,75,1,0.0,56.0,-25.606800000000003,1.33
2023,29,BA,37.48,56.0,417,37,0.0,56.0,-18.524676258992805,8.87
2023,31,MG,63.35,56.0,848,585,0.0,56.0,7.35132075471698,68.99
2023,32,ES,73.73,56.0,78,77,0.0,56.0,17.730384615384622,98.72
2023,33,RJ,55.69,56.0,92,48,0.0,56.0,-0.31445652173913174,52.17
2023,35,SP,57.49,56.0,79,42,0.0,56.0,1.48962025316456,53.16
2023,41,PR,75.82,56.0,398,377,0.0,56.0,19.817135678391963,94.72
2023,42,SC,66.28,56.0,295,236,0.0,56.0,10.276881355932204,80.0
2023,43,RS,73.81,56.0,488,448,0.0,56.0,17.80979508196721,91.8
2023,50,MS,50.28,56.0,79,24,0.0,56.0,-5.721392405063291,30.38
2023,51,MT,57.6,56.0,141,71,0.0,56.0,1.5998581560283682,50.35
2023,52,GO,72.7,56.0,245,218,0.0,56.0,16.700693877551018,88.98
2024,11,RO,67.1,62.0,52,41,0.0,62.0,5.0986538461538515,78.85
2024,12,AC,45.45,62.0,22,3,0.0,62.0,-16.552727272727275,13.64
2024,13,AM,49.3,62.0,62,12,0.0,62.0,-12.704838709677418,19.35
2024,15,PA,48.8,62.0,144,18,0.0,62.0,-13.20173611111111,12.5
2024,16,AP,48.42,62.0,16,4,0.0,62.0,-13.581249999999997,25.0
2024,17,TO,46.51,62.0,139,17,0.0,62.0,-15.492158273381293,12.23
2024,21,MA,63.31,62.0,217,108,0.0,62.0,1.3086175115207368,49.77
2024,22,PI,66.0,62.0,224,122,0.0,62.0,3.995848214285715,54.46
2024,23,CE,90.29,62.0,184,182,0.0,62.0,28.289130434782606,98.91
2024,24,RN,42.53,62.0,167,16,0.0,62.0,-19.466706586826348,9.58
2024,25,PB,59.46,62.0,221,89,0.0,62.0,-2.5377375565610834,40.27
2024,26,PE,65.7,62.0,185,109,0.0,62.0,3.698810810810812,58.92
2024,27,AL,52.48,62.0,102,24,0.0,62.0,-9.523039215686275,23.53
2024,28,SE,36.91,62.0,75,3,0.0,62.0,-25.09493333333333,4.0
2024,29,BA,36.56,62.0,407,6,0.0,62.0,-25.435135135135134,1.47
2024,31,MG,75.63,62.0,852,753,0.0,62.0,13.62848591549296,88.38
2024,32,ES,78.62,62.0,78,76,0.0,62.0,16.62012820512821,97.44
2024,33,RJ,58.74,62.0,92,41,0.0,62.0,-3.2571739130434736,44.57
2024,35,SP,64.78,62.0,642,340,0.0,62.0,2.781137071651088,52.96
2024,41,PR,74.07,62.0,399,341,0.0,62.0,12.068145363408519,85.46
2024,42,SC,67.1,62.0,292,194,0.0,62.0,5.096404109589045,66.44
2024,43,RS,53.84,62.0,478,129,0.0,62.0,-8.15951882845188,26.99
2024,50,MS,59.02,62.0,79,27,0.0,62.0,-2.9779746835443035,34.18
2024,51,MT,65.57,62.0,141,80,0.0,62.0,3.5702836879432596,56.74
2024,52,GO,80.26,62.0,245,233,0.0,62.0,18.25779591836735,95.1
2024,53,DF,59.13,62.0,1,0,0.0,62.0,-2.8699999999999974,0.0
